ind,ci,salary_ci
1,事务,6905.1351157552
1,事务员,4446.7776303688
1,事务管理,8170.5035676504
1,二级,3913.4884926642
1,产品,7113.2154205753
1,产品包装,4444.8222982535
1,产品开发,5439.9181835205
1,产品策划,10183.1516745
1,产品设计,4424.759257207
1,产品销售,10492.2407552082
1,产权,4988.305236222
1,人事,4043.392541312
1,人事主管,4216.2316403323
1,人事管理,4858.1849163876
1,人事行政,5116.0642065969
1,人事部,3630.0465835821
1,人力,4296.537
1,人力资源,4447.6520248262
1,人力资源部,10869.2887303746
1,人员,3450.8296559131
1,从事,4085.5921931064
1,仓,2977.9864295532
1,仓储,3743.8806688282
1,仓库,3626.6204273299
1,仓管,3268.5225774417
1,仓管员,3254.0190131615
1,代班,2632.496343636
1,代理,5932.4137418184
1,代行,14638.2799106784
1,代表,4065.6394837354
1,代表处,7918.3164410502
1,代销,4296.537
1,企业,5179.8464896104
1,企划,5865.2280027487
1,企划部,7453.1653959012
1,企画,9167.4768968602
1,会务,2805.882729111
1,会展,4580.6824029101
1,会计,3928.6061133422
1,会计员,3741.384792222
1,会计师,5508.380783
1,会议,4728.0645965532
1,体系,5300.2376894632
1,作业员,3007.3690508591
1,供应商,7279.381872306
1,供应链,7224.815901358
1,促销,4357.9314705032
1,促销员,2579.9516880709
1,俄语,4253.0984338032
1,保全,2632.496343636
1,保养,2632.496343636
1,保安,3771.7675381232
1,保安队,3606.028570611
1,保护,4629.891565074
1,保证,6467.2670782016
1,信息,4420.6046745
1,信息安全,5438.6192132771
1,信息技术,5774.4819601236
1,信息管理,10023.874343074
1,修模,5370.537
1,修理,3673.7066814165
1,修理工,3990.726537187
1,值班,4085.5921931064
1,做过,3222.537
1,储备,3194.7652928242
1,储干,2416.058345424
1,光学,5196.2543084213
1,全国,10456.8311928876
1,全球,9098.707232498
1,全职,3233.9225865183
1,公关,6926.1187681972
1,公务员,2992.9831417332
1,关务,3574.8080666478
1,关系,4109.5316542274
1,兼仓管,3375.9336282444
1,兼库,3783.7765446087
1,兼文控,3741.384792222
1,兼职,3093.1111888855
1,内务,3064.0239401892
1,内勤,3607.594548979
1,内贸,3481.960896111
1,内部,6896.7997136008
1,冲压,4152.540259918
1,冲床,2994.600128424
1,冲床工,3445.338692136
1,出口,4308.9338473688
1,出纳,3594.6657990418
1,出纳员,3266.5443083631
1,出货,3797.9071287376
1,分区,14684.592840111
1,分店,4565.33651175
1,分支机构,6467.2670782016
1,分析,6214.1940257108
1,分析员,5980.7968553885
1,分析师,6777.7319204428
1,分部,9787.3270138328
1,分销,4858.3016219198
1,创业,7543.4959117376
1,创意,6430.7370813645
1,初级,3064.0239401892
1,制作,3882.9230319536
1,制冷,3741.384792222
1,制单,3002.125826498
1,制品,6313.3329490535
1,制图,3700.7473524368
1,制图员,3199.5734097928
1,制版,3150.2883893349
1,制程,4659.06066635
1,制造,6772.2702668944
1,前台,3028.9439916435
1,副,7598.8277127566
1,副厂长,8791.2479692911
1,副总,14450.4081594444
1,副总经理,12733.6471262436
1,副总裁,13218.8125467254
1,副经理,8023.2073260959
1,办事员,1870.380666
1,办事处,7692.1891646113
1,办公,3905.0186044779
1,办公室,4657.5959280404
1,办公用品,3913.4884926642
1,办公设备,3807.1098230609
1,加工,3305.248783
1,加盟,4878.6144760436
1,助理,3789.3349317727
1,包装,4930.2796939925
1,化学,4377.7453403645
1,化验,3097.6521814852
1,北方,14252.2485
1,区,7471.0427786401
1,区域,7214.5103290023
1,区域经理,6791.3702700703
1,医师,6682.8154281605
1,医生,6682.8154281605
1,半导体技术,3606.028570611
1,半成品,3064.0239401892
1,华东,11937.1907134534
1,华东区,7309.7552052561
1,华中,7658.1045207492
1,华北,16228.47294
1,华北区,9932.6559894518
1,华南,7701.3022749438
1,华南区,8230.1864564024
1,协调,3568.0481158625
1,协调员,4284.7606980444
1,单,4079.099586328
1,单及,3913.4884926642
1,单员,3300.6737366657
1,单据,3273.6337606665
1,单证,3312.9297004364
1,单证员,3260.2355606538
1,卖场,4346.7493183096
1,南区,14610.3937818688
1,印刷,3693.6111029289
1,印前,5139.7693959012
1,厂长,9541.1959295421
1,原因,3470.672349
1,叉车,3690.1359022717
1,受理,3606.028570611
1,可靠性,3765.732128424
1,司机,3849.5111903161
1,合伙人,6224.6739607707
1,合同,5912.8026869959
1,合约,5514.5619104356
1,合规,9393.3546006748
1,后勤,3387.4545793209
1,后勤人员,3238.8202728816
1,后台,1888.751343636
1,后期,3070.59942825
1,员及,3916.117905498
1,员工,3328.5688139869
1,呼叫,3602.8063045097
1,咨询,3504.3625440105
1,咨询员,2571.3587010243
1,品,4687.4008885168
1,品保,5577.3026745
1,品检,3653.4524514088
1,品牌,7361.9931011902
1,品管,3848.8399526306
1,品管部,10051.9240452982
1,品质,6175.828944502
1,售前,4144.558514865
1,售后,4111.4682534566
1,售后服务,4010.4822925467
1,商业,4085.5921931064
1,商务,3774.9428420414
1,商务代表,4526.6289442827
1,商务部,3147.2771084213
1,商品,6523.7059805271
1,商场,3199.5734097928
1,商超,3759.7585316376
1,單,3470.672349
1,喷墨,4085.5921931064
1,团购,3467.4626989927
1,国内,5850.1480354438
1,国际,7863.3469542612
1,国际贸易,6139.4274074428
1,图书资料,2042.455687272
1,图文,2621.0316267928
1,图纸,3606.028570611
1,地区,9096.1593360444
1,城市,4867.993607148
1,培训,5817.770161765
1,培训师,5192.7996473452
1,增值,6091.5282710532
1,处理,3600.1285952423
1,复印,3510.2220643688
1,复印机,4583.1026494588
1,复检,2891.920239747
1,外勤,4510.2112320798
1,外包,5834.4154727766
1,外观,4677.7174727766
1,外贸,4462.7403469545
1,外贸部,5776.4791581101
1,外销,7721.8460138328
1,大区,9042.2302081434
1,大学,2670.5265075
1,夹具,2891.920239747
1,学徒,2244.5814912444
1,安全,5885.4352890555
1,安排,3759.7585316376
1,安装,3867.3566793854
1,安装工,4152.842155574
1,安防,4337.9942943735
1,完稿,3673.2869241432
1,定价,5265.881340111
1,定制,4555.960896111
1,实习,3056.9954236454
1,实习生,2797.255520733
1,实施,5261.1383150639
1,实验,3142.2150693688
1,实验室,4728.881340111
1,审核员,5418.250677118
1,审计,5881.9716155992
1,客户,4659.9527759217
1,客户关系,3698.788483883
1,客户服务,4195.41114214
1,客户经理,7491.5028289308
1,客户部,6441.3384621905
1,客服,3576.5886959751
1,客服部,4934.8944702523
1,室内外,3991.594570611
1,家具,4520.8448447604
1,家居用品,4191.0645965532
1,富士施乐,6808.8664428024
1,对,5901.1083595704
1,对账,3139.9173656988
1,导购,3482.7321270877
1,导购员,3178.562373092
1,展厅,3341.97330686
1,展示,4454.7340909182
1,展览,5577.3026745
1,嵌入式,6140.6317853055
1,嵌入式软件,8525.3388462492
1,工业,5526.6347519032
1,工人,3192.7211244514
1,工会,3677.0572075101
1,工作,6240.9102262944
1,工厂,9485.5648468502
1,工模,6808.8664428024
1,工程,4541.4366662189
1,工程师,4602.9938256626
1,工程机械,8699.1521367527
1,工程部,5605.1212516368
1,工艺,5155.1306646234
1,工艺员,3289.8108908668
1,工装,2891.920239747
1,市,2805.2413865946
1,市场,5282.5645685815
1,市场总监,11936.971196443
1,市场推广,6161.9521180586
1,市场策划,5705.8542046064
1,市场营销,5539.1567763625
1,市场调研,3753.500047074
1,市场部,7555.7245582784
1,师傅,4632.5150498485
1,帐,4085.5921931064
1,常务,6501.4065207492
1,幕僚,3598.1717366657
1,干部,3545.0558999707
1,平面,4364.9241828099
1,平面设计,4020.9927349726
1,广告,3592.9338473688
1,库存,4785.8313087561
1,库房,3437.3016683782
1,库方,4085.5921931064
1,库管,3301.2324082715
1,应付,3907.5070445237
1,应届,2798.2285521514
1,应收,4318.952129386
1,应收款,4694.458833
1,应用,5750.8717705555
1,店,4469.5332062423
1,店员,3156.6313489721
1,店长,4319.5760991237
1,店面,3560.4991383238
1,开单,2670.5265075
1,开发,6587.56111669
1,开拓,9100.344070611
1,开票,3669.0440158047
1,弱电,6125.6677136008
1,录入,2580.8662419903
1,录入员,2854.8593983998
1,往来,3679.4084794058
1,律师,8066.4139987827
1,快递,3430.2152378504
1,总,7248.2262710532
1,总务,3938.6846877584
1,总助,4704.0465835821
1,总帐,5691.3867359624
1,总店,3654.0645965532
1,总机,2990.9224282135
1,总监,8943.7382990686
1,总管,3903.885824148
1,总经办,7084.1713284428
1,总经理,6423.3762964135
1,总裁,7010.4839766762
1,总账,4961.5677536376
1,总账会计,4602.8873102554
1,总部,8905.2845925555
1,情报信息,3741.384792222
1,成品,3007.6821332657
1,成型,4085.5921931064
1,成本,5207.6862251218
1,成本会计,4075.5479390193
1,成本核算,3778.1322710532
1,战略,12992.3536543604
1,所有,2977.9864295532
1,打,3302.0771287376
1,打单,2632.496343636
1,打印,2942.9634578378
1,打印机,5604.6010444154
1,打字,2858.6837755241
1,打字员,3064.0239401892
1,执行,5433.6266940569
1,执行官,12353.0445390954
1,扫描,2670.5265075
1,技工,4098.8985432191
1,技师,4232.6262130689
1,技术,4927.0123951895
1,技术主管,6194.6788496037
1,技术人员,3450.1409143811
1,技术员,3557.2628453174
1,技术开发,5428.2994428956
1,技术支持,4129.0677189982
1,技术部,5059.7805060902
1,投影机,5139.7693959012
1,投标,4691.4109844438
1,投诉,3603.5926049912
1,折弯,3741.384792222
1,护士,3913.4884926642
1,护理人员,3913.4884926642
1,报价,3973.8399966488
1,报关,4190.0149112492
1,报关员,4122.7666742151
1,担任,3753.4136958149
1,担当,5895.8450952877
1,拉长,3359.0442683712
1,拓展,5398.9933874237
1,招募,4296.537
1,招商,4831.8558055821
1,招投标,3084.837609498
1,招生,4425.6610650372
1,招聘,3917.7666485171
1,指导,8527.7824744821
1,排版,3412.1174750578
1,接单,3272.9924181501
1,接待,3003.6797272395
1,接待员,3470.672349
1,控制,8235.4832785467
1,推广,3702.6579591708
1,推广员,2977.9864295532
1,推进,8168.1342235592
1,搬运工,3428.568476286
1,摄影师,4728.0645965532
1,操作,4160.7569163495
1,操作员,3084.9705510231
1,操作工,3471.2501522586
1,擔任,3470.672349
1,支持,5960.1958020493
1,支援,7562.6138949582
1,收发,2977.9864295532
1,收银,2629.8002119482
1,收银员,2830.692535714
1,改善,4935.4033230444
1,政府,6288.4560304534
1,效果图,3346.6046745
1,教师,3375.8675209496
1,教育,5308.1471114428
1,数据,3292.6284084907
1,数据分析,7085.20901175
1,数据处理,3630.0465835821
1,数据库管理员,4095.1869838483
1,数控,3837.73997666
1,数控车床,3481.960896111
1,数码,6517.8616267928
1,整体,14459.0141745
1,整理,3606.028570611
1,文化,3813.1393251572
1,文员,3034.062534925
1,文控,3416.2979627645
1,文案,3467.1548191817
1,文档,3938.9545578044
1,文秘,3856.1205925168
1,文职,3181.2962943735
1,方向,5902.0935835821
1,方案,4591.6656225555
1,方案设计,4792.380783
1,日常,2632.496343636
1,日文,2809.418783
1,日本,4458.9508334772
1,日语,5426.3222682447
1,日语翻译,5271.1987698961
1,日资,14459.0141745
1,普工,3156.7918684141
1,服务,4662.2967512803
1,服务中心,1611
1,服务部,5326.8640244334
1,服装,3273.5979812213
1,木工,4313.9515620117
1,机修,3819.1920965532
1,机修工,3745.6066290285
1,机具,4503.3026745
1,机器,3683.1713284428
1,机构,14753.8026791969
1,机械,5596.9543008117
1,机械制图,3339.3684388047
1,机械加工,2891.920239747
1,机械设计,9266.5399432584
1,机电,4136.0567139545
1,材料,5940.4637892181
1,柜台,2546.458833
1,柜长,3470.672349
1,标书,3625.7286893059
1,校对,1985.097346848
1,样品,3654.0645965532
1,核算,1740.690333
1,档案,3065.4101222353
1,档案管理,2723.5011892168
1,检,3741.384792222
1,检查员,3765.8831114428
1,检测,3312.5284043201
1,检验,3126.3460405248
1,检验员,3373.2819047479
1,楼层,3606.028570611
1,楼面,4385.8744689206
1,模具,5237.7181107873
1,模具设计,4229.3000939299
1,欧美,8413.265458611
1,水工,3909.4924405592
1,汽车,4018.4311755164
1,油漆工,3895.4834698644
1,法人,14459.303349
1,法务,6768.5649689369
1,注塑,4683.9818661341
1,活动,6651.3026745
1,洽谈,4085.5921931064
1,派遣,17980.904532591
1,流程,8234.8335143055
1,测试,4904.3228217674
1,测试人员,3787.6959678004
1,测量,4745.3955835821
1,海外,4765.3332436938
1,淘宝,3044.8109908354
1,渠道,4963.8652766524
1,热线,3359.5786121052
1,焊工,3844.7531227554
1,片区,4764.2520356031
1,物业管理,3158.3143738143
1,物控,5420.7011908534
1,物控员,3519.553938574
1,物控部,6235.225680222
1,物料,3430.2409332639
1,物流,5161.6630894902
1,物理,2670.5265075
1,特助,11169.4213323876
1,环境,4918.4357610555
1,现场,4964.735426944
1,班长,3869.9098445205
1,理货,4627.370349
1,理货员,3292.8797240304
1,生产,5014.8121588743
1,生产线,3791.0884295613
1,生管,4741.3288652037
1,电信,1826.727843636
1,电器维修,3484.8234659751
1,电子,5290.8824083217
1,电子商务,4333.6065739986
1,电子技术,8755.5645965532
1,电工,3893.6190410437
1,电梯,4132.3062073867
1,电气,5796.610343074
1,电气工程师,6617.8074052666
1,电焊工,3774.0414295683
1,电脑,3128.1461198242
1,电脑操作,2890.0949912038
1,电话,3855.8069762453
1,电路,4404.0560111457
1,电路板,6808.8664428024
1,百货,4859.8275601181
1,监控,3119.2624571235
1,监理,5358.6432968602
1,监管,6199.5757034428
1,目录,8525.3388462492
1,直线,3654.0645965532
1,直销,6715.2307671444
1,督导,4295.9081331831
1,督导组,4378.7527668936
1,研发,6990.1973130657
1,研究员,3142.2150693688
1,硬件,4159.5066149339
1,磨床,3447.2152593111
1,礼仪,2910.3195965532
1,社员,17980.904532591
1,福利,4092.369665591
1,离职,2670.5265075
1,私营,11195.8409395812
1,科研人员,2042.455687272
1,科长,8412.8846852991
1,秘书,3498.9774474848
1,租赁,6199.5757034428
1,程序员,6407.3293806642
1,税务,3550.2559492065
1,稽核,3630.0465835821
1,空调,4132.3062073867
1,空运,4934.8302710532
1,空间,3913.4884926642
1,空间规划,4609.2461840657
1,第一,14459.303349
1,策划,5281.350538324
1,策划人员,3404.5466911616
1,策划部,5447.2293179544
1,管,3753.0799028081
1,管代,11278.383849
1,管员,3580.6846877584
1,管理,4960.6613312835
1,管理人员,7418.7291704736
1,管理员,3411.7679018293
1,管理科,18596.9119110972
1,管理者,15005.0122982766
1,管理课,5160.4089366642
1,管理部,4769.6153109974
1,类,5281.0572562305
1,精益,17375.63974848
1,系,6940.766349
1,系统,6610.2430924238
1,系统管理,3778.1322710532
1,系统管理员,4576.8628307952
1,系长,6677.922043478
1,線,3470.672349
1,级,7287.9244748128
1,纳税人,4085.5921931064
1,线切割,4431.8870593677
1,线长,3064.0239401892
1,组,6323.8825821887
1,组立,3913.4884926642
1,组组长,6208.4881976376
1,组装,3416.0377775441
1,组长,4319.7738135985
1,终端,5139.7693959012
1,经理,6795.4093768979
1,经理助理,3396.6343319529
1,经销,4651.7509117376
1,经销商,4578.4679439845
1,结构,5996.1727229998
1,结构设计,6193.4681593103
1,结算,3996.7790326953
1,绘制,2670.5265075
1,绘图,3893.7667441083
1,绘图员,2737.434293997
1,统计,3302.8866392671
1,统计员,3108.8011181251
1,绩效,12169.100803993
1,绩效考核,3827.3524596505
1,维修,3815.4515257159
1,维修保养,3970.8563928116
1,维修工,3785.2435120601
1,维修部,4742.2302855165
1,维护,4058.5704515994
1,综合,3697.6680757556
1,综合部,3913.4884926642
1,编程,3600.1285952423
1,编辑,3877.9238614581
1,网店,6734.0006745
1,网站,3517.4366799155
1,网管,1882.627784424
1,网络,4298.435457747
1,网络管理,3627.888345424
1,网络管理员,3687.2811433011
1,网络营销,3538.3504598055
1,网络部,3064.0239401892
1,网页,4143.9764769844
1,美工,3794.0092195555
1,美工设计,3346.6046745
1,美术,4387.9460847444
1,美术设计,4387.9460847444
1,美编,3723.940567929
1,翻译,5540.0431278012
1,老板,4013.3166225555
1,耗材,7950.881340111
1,职位,3699.7039238055
1,职员,3769.6380434652
1,联邦快递,10410.860349
1,股东,2602.8596745
1,自主,9272.4477710532
1,自动化,7512.715531749
1,自营,5874.305830074
1,至,6009.647014611
1,船务,4703.7371497735
1,船務,3470.672349
1,英语,4167.1628959648
1,营业,6024.2853409106
1,营业员,3125.6722438293
1,营业部,6840.4500138328
1,营运,7705.5882152734
1,营销,4588.2095852759
1,营销中心,6313.6835344068
1,营销员,4100.1309627214
1,营销策划,5784.068349
1,营销部,5975.801784111
1,董事长,8525.7400504206
1,薪资,4296.537
1,薪酬,5600.5547183805
1,行业,6934.8453956216
1,行政,3810.4191562367
1,行政主管,4765.1609266848
1,行政事务,4339.6235544012
1,行政助理,3475.6554490687
1,行政部,4619.7839554685
1,行销,5809.1086091781
1,补师,3913.4884926642
1,装潢,4186.1043662613
1,装配,6259.775438574
1,装配工,2298.543833
1,西北,7409.5721563426
1,西北区,6296.4673959012
1,西南区,8583.460896111
1,见习,3741.384792222
1,规划,6489.1573611388
1,规划设计,3064.0239401892
1,解决方案,11247.5243217075
1,计划,4627.7256803813
1,计算机,2648.700096318
1,计算机硬件,4077.0170476661
1,订单,4028.0248794322
1,订货,2699.205677712
1,认证,6216.2102975063
1,训练部,3970.8563928116
1,讲师,5965.0975968173
1,设备,5401.1205908995
1,设计,4507.8094756691
1,设计员,3665.3043723787
1,设计师,5205.5538275229
1,设计部,5611.8137266754
1,证券,9666.537
1,试模,4934.8302710532
1,话务员,2518.527907848
1,课,7991.4467251973
1,课程,4425.6610650372
1,课课,10830.3590826748
1,课长,9798.6671024722
1,调度,4043.1810852347
1,调度员,3244.4461998474
1,调试,3973.3133248187
1,调达,5080.0658473688
1,负责人,6126.3345599261
1,财务,3566.4205598913
1,财务主管,5748.3960616211
1,财务会计,3849.0360112549
1,财务总监,11943.6036297948
1,财务管理,4988.305236222
1,财务经理,9496.207070851
1,财务部,5751.8453965
1,责任,3869.8283948298
1,账务,4513.9071287376
1,账款,4013.3166225555
1,货物,3675.6456303688
1,质检,4388.7039344362
1,质检员,3393.3489310266
1,质量,4987.5722655746
1,质量体系,4555.960896111
1,质量保证,13301.108196222
1,质量部,6099.869458611
1,购,10245.9086140812
1,贸易,4404.3908023401
1,费用,5163.322126074
1,资料员,3139.9173656988
1,资材,8216.2652271175
1,资深,9403.2723830829
1,资金,5370.537
1,跟,3972.4920449626
1,跟单,3663.853536015
1,跟单员,3738.8103644059
1,车床,3382.9328389777
1,车间,4924.977313955
1,车间主任,7290.0126404555
1,软件,6073.565902484
1,软件测试,5753.2139045808
1,辅助,4878.6144760436
1,输入,3064.0239401892
1,辖区,4283.3665513594
1,过,3654.0645965532
1,运作,5284.2100177086
1,运维,6703.960896111
1,运营,5454.7990626313
1,运营官,17178.433728111
1,运营部,10505.8658070896
1,运输,3470.5274130056
1,进出口,5362.6099586192
1,进销存,5160.4089366642
1,连锁,4675.1324196324
1,送货,3198.806045286
1,送货员,2682.3641814175
1,通信,2042.455687272
1,速递,3445.2548180294
1,造型,7962.2835945555
1,過,3470.672349
1,部分,3470.672349
1,部副,7716.1167000888
1,部品,6142.6763352584
1,部长,11537.4169999629
1,部门,6314.5821818082
1,部门经理,10226.1165934243
1,配料,3064.0239401892
1,配货,3481.960896111
1,配送,3787.9628714287
1,采購員,3913.4884926642
1,采购,4622.01410593
1,采购员,4576.5245830839
1,采购计划,4103.960566
1,采购部,5583.9205902294
1,重点,10381.2648356922
1,金,3654.0645965532
1,金工,3667.011632037
1,金考,10410.860349
1,銷售,3346.6046745
1,钣,3663.7748731661
1,钣工,3828.2254662932
1,钳工,3975.7837812799
1,铆,3773.6323454199
1,铣床,3535.5496963623
1,铲车,3552.5982007769
1,铸造,3712.7878713161
1,销售,4738.1635422436
1,销售业务,3575.4679190304
1,销售主管,5563.319209649
1,销售员,3282.3065853849
1,销售部,5735.4966577219
1,销管,5275.1256175122
1,锅炉工,4132.3062073867
1,锻造,3712.7878713161
1,门市,3057.2286198735
1,门店,5409.3821456074
1,陆运,4762.726570611
1,陈列,3967.2979261844
1,集团,11398.114162375
1,零售,5213.4922440965
1,需求,6417.356566
1,革新,13942.4201745
1,韩语,5821.5398527654
1,项目,6873.0970877984
1,项目管理,5544.3750311313
1,项目经理,8498.2223660518
1,项目部,3501.6485802857
1,顾问,5534.2285121373
1,预算,7930.78199385
1,领班,4483.8497865743
1,首代,7918.3164410502
1,首席,12206.9019431121
1,驾驶,3970.8563928116
1,驾驶员,3848.9095260424
1,验货,4133.7755342214
1,高级,8914.5566409583
2,ー,11222.907456222
2,a,4364.0658473688
2,accountant,7166.345014611
2,ade,8729.066568222
2,admin,5121.3956564856
2,analyst,15477.364731861
2,android,8592.537
2,as,7366.1136331332
2,assistant,8962.3263377967
2,aum,8886.154639074
2,b,5802.881340111
2,ba,8583.460896111
2,bi,9517.279819537
2,business,15477.364731861
2,ceo,16190.6261011513
2,consultant,7890.6986745
2,control,9272.4477710532
2,coo,19181.97294
2,csr,3519.0997643257
2,dba,12435.081849
2,development,7883.6831863602
2,dmtm,15659.1673450332
2,e,16301.63974848
2,ehr,11246.2967573055
2,erp,11191.786975031
2,fa,4673.6411946748
2,fic,13023.863879394
2,generalist,7570.2097076748
2,head,19227.824976591
2,helpdesk,6374.2220643688
2,hr,6436.3063271432
2,hrbp,9528.900679611
2,ib,4801.1619588137
2,ic,7797.6075633929
2,ii,6377.3388462492
2,it,8964.7471241882
2,java,6544.7122740119
2,leader,9504.3698444824
2,manager,17593.1895090034
2,mdrt,7518.537
2,mis,8541.758639074
2,mt,6276.0534906748
2,n,5718.5520638901
2,office,13425.537
2,officer,6296.4673959012
2,operation,4934.8302710532
2,pa,8840.9201745
2,pm,10377.5240743602
2,project,16616.2260970648
2,qa,4427.9452995459
2,qaqc,6117.1149863528
2,qc,3606.028570611
2,s,4850.7297271325
2,sadm,18796.6316745
2,sales,8573.1199994428
2,senior,9711.2210988219
2,seo,7853.2542777911
2,sm,16508.67053023
2,specialist,5577.3026745
2,stsr,7768.9665055122
2,sub,14506.333005111
2,support,6694.1306425076
2,team,9776.7985248374
2,teamleader,7049.801784111
2,tl,9853.1184605779
2,tmr,5433.9039958011
2,tsr,5071.2005615452
2,um,9671.9213474126
2,underwriter,10472.037
2,vip,6508.1893275314
2,wp,8097.464349
2,一岗通,5678.2479190937
2,一柜,4837.6713642888
2,一级,9999.3233210551
2,一线,4037.3346355266
2,一般,4728.4729683321
2,一部,12451.584421465
2,三级,8849.8190388964
2,三部,9654.256528148
2,上,5447.2293179544
2,上市,8729.066568222
2,上门,4934.8302710532
2,专业,6199.31450626
2,专兼业,3741.384792222
2,专务,9101.4556036409
2,专员,4440.5004240775
2,专家,10131.4623560652
2,专案,10324.5166122932
2,专管,4934.8302710532
2,专管员,7732.6885594022
2,专线,3450.1615940742
2,专职,6994.4553583435
2,业务,7342.0579504504
2,业务主管,7717.603321222
2,业务人员,3654.0645965532
2,业务员,4288.9014750884
2,业务培训,7450.0239267432
2,业务流程,9975.987012222
2,业务管理,7933.2010913073
2,业务经理,8002.2472146186
2,业务部,8613.7810427845
2,业务部门,7248.2262710532
2,业管,7323.5697206712
2,业管部,5972.0564779332
2,业绩,6968.125783
2,东区,13425.537
2,两年,2042.455687272
2,两核,7573.2400020136
2,个人,6674.7067061389
2,个人保险,13716.0026140812
2,个销,5139.7693959012
2,个险,7882.9937787644
2,个险部,9631.8214543951
2,中,11060.6182360577
2,中介,6662.5623395728
2,中介代理,2848.2960965532
2,中信,19698.8561145
2,中国,7095.3765878784
2,中心,4095.23277916
2,中支,13795.074646568
2,中级,8755.0266854822
2,临分,7334.1973509808
2,临时,4484.0019949649
2,临时工,3606.028570611
2,主任,7720.7764145856
2,主办,7155.0591274508
2,主持,12528.201781006
2,主持人,4413.9588087561
2,主班,4016.6601231183
2,主管,8360.8004798512
2,主训,4740.1596818055
2,事业,7338.874343074
2,事业单位,6313.4711202284
2,事业部,9017.9131932516
2,事务员,2977.9864295532
2,事宜,2756.564018136
2,事故,4501.3456566808
2,事故现场,4260.9507637332
2,二,3913.4884926642
2,二星,6734.0006745
2,二级,6657.1985021595
2,二部,6810.3971824058
2,于,6124.4500138328
2,互动,5348.0893667097
2,互联,14252.2485
2,互联网,6734.0006745
2,五级,4852.949014611
2,交叉,5251.5249840119
2,交易,7378.996120148
2,交易员,10828.9439280389
2,产品,9781.6136035072
2,产品开发,12295.4396329999
2,产品策划,3346.6046745
2,产品部,10347.264514611
2,产品销售,3606.028570611
2,产险,5945.0919433758
2,人事,4185.6226527055
2,人事主管,5646.1300447767
2,人事管理,6129.7042858997
2,人事行政,6066.1794586358
2,人事部,4455.9034949519
2,人伤,5240.660968949
2,人保,13302.3161745
2,人力,8226.8548268573
2,人力资源,5656.9495571232
2,人力资源部,14136.8416842878
2,人员,4007.590911179
2,人寿,5945.8831589772
2,人寿保险,6212.338747217
2,人才,11411.5592308328
2,人管,6028.9400990971
2,人身,8688.9820665555
2,人身险,10252.4722968822
2,从业人员,7017.5514788586
2,从业员,3002.125826498
2,从事,5697.704071179
2,付费,4321.9037537208
2,代,6576.3545976246
2,代办,3620.458833
2,代理,6176.1521949125
2,代理人,4589.9399616753
2,代理员,3243.6869241432
2,代表,4827.7189979706
2,代表处,13773.6377290718
2,件,5866.5537947155
2,任职,7496.5127214651
2,企,10584.7491236307
2,企业,6880.9676346794
2,企划,7642.9481534812
2,企划部,13551.0523450149
2,企宣,5508.380783
2,优化,11543.3624210961
2,会务,4986.0394348746
